
# Surface 0 of 1 surfaces

# Curve title: "g(x,y)"

# IsoCurve 0, 100 points
# x y z type
-10 -10  380 i
 6.9697 -5.34137  33.3658 i
 7.17172 -5.34137  34.3355 i
 7.37374 -5.34137  35.3869 i
 7.57576 -5.34137  36.5198 i
 7.77778 -5.34137  37.7344 i
 7.9798 -5.34137  39.0306 i
 8.18182 -5.34137  40.4084 i
 8.38384 -5.34137  41.8679 i
 8.58586 -5.34137  43.409 i
 8.78788 -5.34137  45.0317 i
 8.9899 -5.34137  46.736 i
 9.19192 -5.34137  48.5219 i
 9.39394 -5.34137  50.3895 i
 9.59596 -5.34137  52.3387 i
 9.79798 -5.34137  54.3695 i
 10 -5.34137  56.482 i

# IsoCurve 59, 100 points
# x y z type
-10 -5.26104  241.333 i
-9.79798 -5.26104  235.463 i
-9.59596 -5.26104  229.674 i
-9.39394 -5.26104  223.967 i
-9.19192 -5.26104  218.341 i
-8.9899 -5.26104  212.797 i
-8.78788 -5.26104  207.335 i
-8.58586 -5.26104  201.954 i
-8.38384 -5.26104  196.655 i
-8.18182 -5.26104  191.437 i
-7.9798 -5.26104  186.301 i
-7.77778 -5.26104  181.247 i
-7.57576 -5.26104  176.274 i
-7.37374 -5.26104  171.383 i
-7.17172 -5.26104  166.574 i
-6.9697 -5.26104  161.846 i
-6.76768 -5.26104  157.2 i
-6.56566 -5.26104  152.635 i
-6.36364 -5.26104  148.153 i
-6.16162 -5.26104  143.751 i
-5.9596 -5.26104  139.432 i
-5.75758 -5.26104  135.194 i
-5.55556 -5.26104  131.037 i
-5.35354 -5.26104  126.962 i
-5.15152 -5.26104  122.969 i
-4.94949 -5.26104  119.058 i
-4.74747 -5.26104  115.228 i
-4.54545 -5.26104  111.48 i
-4.34343 -5.26104  107.813 i
-4.14141 -5.26104  104.228 i
-3.93939 -5.26104  100.724 i
-3.73737 -5.26104  97.3027 i
-3.53535 -5.26104  93.9626 i
-3.33333 -5.26104  90.704 i
-3.13131 -5.26104  87.5271 i
-2.92929 -5.26104  84.4318 i
-2.72727 -5.26104  81.4182 i
-2.52525 -5.26104  78.4861 i
-2.32323 -5.26104  75.6357 i
-2.12121 -5.26104  72.8669 i
-1.91919 -5.26104  70.1798 i
-1.71717 -5.26104  67.5742 i
-1.51515 -5.26104  65.0503 i
-1.31313 -5.26104  62.608 i
-1.11111 -5.26104  60.2474 i
-0.909091 -5.26104  57.9683 i
-0.707071 -5.26104  55.7709 i
-0.505051 -5.26104  53.6551 i
-0.30303 -5.26104  51.621 i
-0.10101 -5.26104  49.6684 i
 0.10101 -5.26104  47.7975 i
 0.30303 -5.26104  46.0082 i
 0.505051 -5.26104  44.3005 i
 0.707071 -5.26104  42.6745 i
 0.909091 -5.26104  41.1301 i
 1.11111 -5.26104  39.6673 i
 1.31313 -5.26104  38.2861 i
 1.51515 -5.26104  36.9866 i
 1.71717 -5.26104  35.7686 i
 1.91919 -5.26104  34.6323 i
 2.12121 -5.26104  33.5777 i
 2.32323 -5.26104  32.6046 i
 2.52525 -5.26104  31.7132 i
 2.72727 -5.26104  30.9034 i
 2.92929 -5.26104  30.1752 i
 3.13131 -5.26104  29.5287 i
 3.33333 -5.26104  28.9637 i
 3.53535 -5.26104  28.4804 i
 3.73737 -5.26104  28.0787 i
 3.93939 -5.26104  27.7587 i
 4.14141 -5.26104  27.5203 i
 4.34343 -5.26104  27.3634 i
 4.54545 -5.26104  27.2883 i
 4.74747 -5.26104  27.2947 i
 4.94949 -5.26104  27.3828 i
 5.15152 -5.26104  27.5525 i
 5.35354 -5.26104  27.8038 i
 5.55556 -5.26104  28.1367 i
 5.75758 -5.26104  28.5513 i
 5.9596 -5.26104  29.0475 i
 6.16162 -5.26104  29.6253 i
 6.36364 -5.26104  30.2847 i
 6.56566 -5.26104  31.0258 i
 6.76768 -5.26104  31.8485 i
 6.9697 -5.26104  32.7528 i
 7.17172 -5.26104  33.7387 i
 7.37374 -5.26104  34.8063 i
 7.57576 -5.26104  35.9554 i
 7.77778 -5.26104  37.1862 i
 7.9798 -5.26104  38.4987 i
 8.18182 -5.26104  39.8927 i
 8.38384 -5.26104  41.3684 i
 8.58586 -5.26104  42.9257 i
 8.78788 -5.26104  44.5646 i
 8.9899 -5.26104  46.2852 i
 9.19192 -5.26104  48.0874 i
 9.39394 -5.26104  49.9712 i
 9.59596 -5.26104  51.9366 i
 9.79798 -5.26104  53.9836 i
 10 -5.26104  56.1123 i

# IsoCurve 60, 100 points
# x y z type
-10 -5.18072  239.37 i
-9.79798 -5.18072  233.516 i
-9.59596 -5.18072  227.743 i
-9.39394 -5.18072  222.052 i
-9.19192 -5.18072  216.443 i
-8.9899 -5.18072  210.915 i
-8.78788 -5.18072  205.469 i
-8.58586 -5.18072  200.104 i
-8.38384 -5.18072  194.821 i
-8.18182 -5.18072  189.62 i
-7.9798 -5.18072  184.5 i
-7.77778 -5.18072  179.462 i
-7.57576 -5.18072  174.506 i
-7.37374 -5.18072  169.631 i
-7.17172 -5.18072  164.838 i
-6.9697 -5.18072  160.126 i
-6.76768 -5.18072  155.496 i
-6.56566 -5.18072  150.948 i
-6.36364 -5.18072  146.481 i
-6.16162 -5.18072  142.096 i
-5.9596 -5.18072  137.793 i
-5.75758 -5.18072  133.571 i
-5.55556 -5.18072  129.431 i
-5.35354 -5.18072  125.372 i
-5.15152 -5.18072  121.396 i
-4.94949 -5.18072  117.5 i
-4.74747 -5.18072  113.687 i
-4.54545 -5.18072  109.954 i
-4.34343 -5.18072  106.304 i
-4.14141 -5.18072  102.735 i
-3.93939 -5.18072  99.2481 i
-3.73737 -5.18072  95.8425 i
-3.53535 -5.18072  92.5186 i
-3.33333 -5.18072  89.2763 i
-3.13131 -5.18072  86.1156 i
-2.92929 -5.18072  83.0366 i
-2.72727 -5.18072  80.0391 i
-2.52525 -5.18072  77.1233 i
-2.32323 -5.18072  74.2891 i
-2.12121 -5.18072  71.5366 i
-1.91919 -5.18072  68.8656 i
-1.71717 -5.18072  66.2763 i
-1.51515 -5.18072  63.7687 i
-1.31313 -5.18072  61.3426 i
-1.11111 -5.18072  58.9982 i
-0.909091 -5.18072  56.7353 i
-0.707071 -5.18072  54.5542 i
-0.505051 -5.18072  52.4546 i
-0.30303 -5.18072  50.4366 i
-0.10101 -5.18072  48.5003 i
 0.10101 -5.18072  46.6456 i
 0.30303 -5.18072  44.8726 i
 0.505051 -5.18072  43.1811 i
 0.707071 -5.18072  41.5713 i
 0.909091 -5.18072  40.0431 i
 1.11111 -5.18072  38.5965 i
 1.31313 -5.18072  37.2316 i
 1.51515 -5.18072  35.9483 i
 1.71717 -5.18072  34.7466 i
 1.91919 -5.18072  33.6265 i
 2.12121 -5.18072  32.5881 i
 2.32323 -5.18072  31.6312 i
 2.52525 -5.18072  30.756 i
 2.72727 -5.18072  29.9625 i
 2.92929 -5.18072  29.2505 i
 3.13131 -5.18072  28.6202 i
 3.33333 -5.18072  28.0715 i
 3.53535 -5.18072  27.6044 i
 3.73737 -5.18072  27.219 i
 3.93939 -5.18072  26.9151 i
 4.14141 -5.18072  26.6929 i
 4.34343 -5.18072  26.5523 i
 4.54545 -5.18072  26.4934 i
 4.74747 -5.18072  26.516 i
 4.94949 -5.18072  26.6203 i
 5.15152 -5.18072  26.8063 i
 5.35354 -5.18072  27.0738 i
 5.55556 -5.18072  27.423 i
 5.75758 -5.18072  27.8538 i
 5.9596 -5.18072  28.3662 i
 6.16162 -5.18072  28.9602 i
 6.36364 -5.18072  29.6359 i
 6.56566 -5.18072  30.3932 i
 6.76768 -5.18072  31.2321 i
 6.9697 -5.18072  32.1526 i
 7.17172 -5.18072  33.1548 i
 7.37374 -5.18072  34.2385 i
 7.57576 -5.18072  35.404 i
 7.77778 -5.18072  36.651 i
 7.9798 -5.18072  37.9796 i
 8.18182 -5.18072  39.3899 i
 8.38384 -5.18072  40.8818 i
 8.58586 -5.18072  42.4554 i
 8.78788 -5.18072  44.1105 i
 8.9899 -5.18072  45.8473 i
 9.19192 -5.18072  47.6657 i
 9.39394 -5.18072  49.5657 i
 9.59596 -5.18072  51.5474 i
 9.79798 -5.18072  53.6107 i
 10 -5.18072  55.7556 i

# IsoCurve 61, 100 points
# x y z type
-10 -5.1004  237.42 i
-9.79798 -5.1004  231.582 i
-9.59596 -5.1004  225.825 i
-9.39394 -5.1004  220.15 i
-9.19192 -5.1004  214.557 i
-8.9899 -5.1004  209.046 i
-8.78788 -5.1004  203.616 i
-8.58586 -5.1004  198.267 i
-8.38384 -5.1004  193.001 i
-8.18182 -5.1004  187.816 i
-7.9798 -5.1004  182.712 i
-7.77778 -5.1004  177.69 i
-7.57576 -5.1004  172.75 i
-7.37374 -5.1004  167.892 i
-7.17172 -5.1004  163.115 i
-6.9697 -5.1004  158.419 i
-6.76768 -5.1004  153.806 i
-6.56566 -5.1004  149.274 i
-6.36364 -5.1004  144.823 i
-6.16162 -5.1004  140.454 i
-5.9596 -5.1004  136.167 i
-5.75758 -5.1004  131.962 i
-5.55556 -5.1004  127.838 i
-5.35354 -5.1004  123.795 i
-5.15152 -5.1004  119.835 i
-4.94949 -5.1004  115.956 i
-4.74747 -5.1004  112.158 i
-4.54545 -5.1004  108.442 i
-4.34343 -5.1004  104.808 i
-4.14141 -5.1004  101.256 i
-3.93939 -5.1004  97.7846 i
-3.73737 -5.1004  94.3953 i
-3.53535 -5.1004  91.0876 i
-3.33333 -5.1004  87.8615 i
-3.13131 -5.1004  84.717 i
-2.92929 -5.1004  81.6542 i
-2.72727 -5.1004  78.673 i
-2.52525 -5.1004  75.7734 i
-2.32323 -5.1004  72.9555 i
-2.12121 -5.1004  70.2191 i
-1.91919 -5.1004  67.5644 i
-1.71717 -5.1004  64.9913 i
-1.51515 -5.1004  62.4999 i
-1.31313 -5.1004  60.09 i
-1.11111 -5.1004  57.7618 i
-0.909091 -5.1004  55.5152 i
-0.707071 -5.1004  53.3503 i
-0.505051 -5.1004  51.2669 i
-0.30303 -5.1004  49.2652 i
-0.10101 -5.1004  47.3451 i
 0.10101 -5.1004  45.5067 i
 0.30303 -5.1004  43.7498 i
 0.505051 -5.1004  42.0746 i
 0.707071 -5.1004  40.481 i
 0.909091 -5.1004  38.9691 i
 1.11111 -5.1004  37.5387 i
 1.31313 -5.1004  36.19 i
 1.51515 -5.1004  34.9229 i
 1.71717 -5.1004  33.7374 i
 1.91919 -5.1004  32.6336 i
 2.12121 -5.1004  31.6114 i
 2.32323 -5.1004  30.6708 i
 2.52525 -5.1004  29.8118 i
 2.72727 -5.1004  29.0344 i
 2.92929 -5.1004  28.3387 i
 3.13131 -5.1004  27.7246 i
 3.33333 -5.1004  27.1921 i
 3.53535 -5.1004  26.7413 i
 3.73737 -5.1004  26.3721 i
 3.93939 -5.1004  26.0845 i
 4.14141 -5.1004  25.8785 i
 4.34343 -5.1004  25.7541 i
 4.54545 -5.1004  25.7114 i
 4.74747 -5.1004  25.7503 i
 4.94949 -5.1004  25.8708 i
 5.15152 -5.1004  26.073 i
 5.35354 -5.1004  26.3567 i
 5.55556 -5.1004  26.7221 i
 5.75758 -5.1004  27.1691 i
 5.9596 -5.1004  27.6978 i
 6.16162 -5.1004  28.308 i
 6.36364 -5.1004  28.9999 i
 6.56566 -5.1004  29.7734 i
 6.76768 -5.1004  30.6286 i
 6.9697 -5.1004  31.5653 i
 7.17172 -5.1004  32.5837 i
 7.37374 -5.1004  33.6837 i
 7.57576 -5.1004  34.8654 i
 7.77778 -5.1004  36.1286 i
 7.9798 -5.1004  37.4735 i
 8.18182 -5.1004  38.9 i
 8.38384 -5.1004  40.4082 i
 8.58586 -5.1004  41.9979 i
 8.78788 -5.1004  43.6693 i
 8.9899 -5.1004  45.4223 i
 9.19192 -5.1004  47.2569 i
 9.39394 -5.1004  49.1732 i
 9.59596 -5.1004  51.1711 i
 9.79798 -5.1004  53.2506 i
 10 -5.1004  55.4117 i

# IsoCurve 62, 100 points
# x y z type
-10 -5.02008  235.482 i
-9.79798 -5.02008  229.661 i
-9.59596 -5.02008  223.92 i
-9.39394 -5.02008  218.262 i
-9.19192 -5.02008  212.685 i
-8.9899 -5.02008  207.189 i
-8.78788 -5.02008  201.776 i
-8.58586 -5.02008  196.444 i
-8.38384 -5.02008  191.193 i
-8.18182 -5.02008  186.024 i
-7.9798 -5.02008  180.937 i
-7.77778 -5.02008  175.932 i
-7.57576 -5.02008  171.008 i
-7.37374 -5.02008  166.165 i
-7.17172 -5.02008  161.405 i
-6.9697 -5.02008  156.725 i
-6.76768 -5.02008  152.128 i
-6.56566 -5.02008  147.612 i
-6.36364 -5.02008  143.178 i
-6.16162 -5.02008  138.825 i
-5.9596 -5.02008  134.554 i
-5.75758 -5.02008  130.365 i
-5.55556 -5.02008  126.257 i
-5.35354 -5.02008  122.231 i
-5.15152 -5.02008  118.287 i
-4.94949 -5.02008  114.424 i
-4.74747 -5.02008  110.643 i
-4.54545 -5.02008  106.943 i
-4.34343 -5.02008  103.325 i
-4.14141 -5.02008  99.7887 i
-3.93939 -5.02008  96.334 i
-3.73737 -5.02008  92.9609 i
-3.53535 -5.02008  89.6694 i
-3.33333 -5.02008  86.4596 i
-3.13131 -5.02008  83.3313 i
-2.92929 -5.02008  80.2847 i
-2.72727 -5.02008  77.3198 i
-2.52525 -5.02008  74.4364 i
-2.32323 -5.02008  71.6347 i
-2.12121 -5.02008  68.9146 i
-1.91919 -5.02008  66.2761 i
-1.71717 -5.02008  63.7192 i
-1.51515 -5.02008  61.244 i
-1.31313 -5.02008  58.8504 i
-1.11111 -5.02008  56.5384 i
-0.909091 -5.02008  54.308 i
-0.707071 -5.02008  52.1593 i
-0.505051 -5.02008  50.0922 i
-0.30303 -5.02008  48.1067 i
-0.10101 -5.02008  46.2028 i
 0.10101 -5.02008  44.3806 i
 0.30303 -5.02008  42.64 i
 0.505051 -5.02008  40.981 i
 0.707071 -5.02008  39.4036 i
 0.909091 -5.02008  37.9079 i
 1.11111 -5.02008  36.4938 i
 1.31313 -5.02008  35.1613 i
 1.51515 -5.02008  33.9104 i
 1.71717 -5.02008  32.7412 i
 1.91919 -5.02008  31.6536 i
 2.12121 -5.02008  30.6476 i
 2.32323 -5.02008  29.7232 i
 2.52525 -5.02008  28.8804 i
 2.72727 -5.02008  28.1193 i
 2.92929 -5.02008  27.4398 i
 3.13131 -5.02008  26.842 i
 3.33333 -5.02008  26.3257 i
 3.53535 -5.02008  25.8911 i
 3.73737 -5.02008  25.5381 i
 3.93939 -5.02008  25.2667 i
 4.14141 -5.02008  25.077 i
 4.34343 -5.02008  24.9688 i
 4.54545 -5.02008  24.9423 i
 4.74747 -5.02008  24.9974 i
 4.94949 -5.02008  25.1342 i
 5.15152 -5.02008  25.3526 i
 5.35354 -5.02008  25.6525 i
 5.55556 -5.02008  26.0342 i
 5.75758 -5.02008  26.4974 i
 5.9596 -5.02008  27.0423 i
 6.16162 -5.02008  27.6688 i
 6.36364 -5.02008  28.3769 i
 6.56566 -5.02008  29.1666 i
 6.76768 -5.02008  30.038 i
 6.9697 -5.02008  30.991 i
 7.17172 -5.02008  32.0256 i
 7.37374 -5.02008  33.1418 i
 7.57576 -5.02008  34.3397 i
 7.77778 -5.02008  35.6192 i
 7.9798 -5.02008  36.9803 i
 8.18182 -5.02008  38.423 i
 8.38384 -5.02008  39.9474 i
 8.58586 -5.02008  41.5534 i
 8.78788 -5.02008  43.241 i
 8.9899 -5.02008  45.0102 i
 9.19192 -5.02008  46.8611 i
 9.39394 -5.02008  48.7935 i
 9.59596 -5.02008  50.8076 i
 9.79798 -5.02008  52.9034 i
 10 -5.02008  55.0807 i

# IsoCurve 63, 100 points
# x y z type
-10 -4.93976  233.558 i
-9.79798 -4.93976  227.752 i
-9.59596 -4.93976  222.028 i
-9.39394 -4.93976  216.386 i
-9.19192 -4.93976  210.825 i
-8.9899 -4.93976  205.346 i
-8.78788 -4.93976  199.949 i
-8.58586 -4.93976  194.633 i
-8.38384 -4.93976  189.398 i
-8.18182 -4.93976  184.246 i
-7.9798 -4.93976  179.175 i
-7.77778 -4.93976  174.186 i
-7.57576 -4.93976  169.278 i
-7.37374 -4.93976  164.452 i
-7.17172 -4.93976  159.707 i
-6.9697 -4.93976  155.044 i
-6.76768 -4.93976  150.463 i
-6.56566 -4.93976  145.963 i
-6.36364 -4.93976  141.545 i
-6.16162 -4.93976  137.209 i
-5.9596 -4.93976  132.954 i
-5.75758 -4.93976  128.781 i
-5.55556 -4.93976  124.69 i
-5.35354 -4.93976  120.68 i
-5.15152 -4.93976  116.752 i
-4.94949 -4.93976  112.905 i
-4.74747 -4.93976  109.14 i
-4.54545 -4.93976  105.457 i
-4.34343 -4.93976  101.855 i
-4.14141 -4.93976  98.3348 i
-3.93939 -4.93976  94.8963 i
-3.73737 -4.93976  91.5394 i
-3.53535 -4.93976  88.2642 i
-3.33333 -4.93976  85.0706 i
-3.13131 -4.93976  81.9586 i
-2.92929 -4.93976  78.9282 i
-2.72727 -4.93976  75.9794 i
-2.52525 -4.93976  73.1123 i
-2.32323 -4.93976  70.3268 i
-2.12121 -4.93976  67.6229 i
-1.91919 -4.93976  65.0007 i
-1.71717 -4.93976  62.46 i
-1.51515 -4.93976  60.001 i
-1.31313 -4.93976  57.6236 i
-1.11111 -4.93976  55.3279 i
-0.909091 -4.93976  53.1138 i
-0.707071 -4.93976  50.9812 i
-0.505051 -4.93976  48.9304 i
-0.30303 -4.93976  46.9611 i
-0.10101 -4.93976  45.0735 i
 0.10101 -4.93976  43.2675 i
 0.30303 -4.93976  41.5431 i
 0.505051 -4.93976  39.9003 i
 0.707071 -4.93976  38.3392 i
 0.909091 -4.93976  36.8596 i
 1.11111 -4.93976  35.4618 i
 1.31313 -4.93976  34.1455 i
 1.51515 -4.93976  32.9109 i
 1.71717 -4.93976  31.7578 i
 1.91919 -4.93976  30.6864 i
 2.12121 -4.93976  29.6967 i
 2.32323 -4.93976  28.7885 i
 2.52525 -4.93976  27.962 i
 2.72727 -4.93976  27.2171 i
 2.92929 -4.93976  26.5538 i
 3.13131 -4.93976  25.9722 i
 3.33333 -4.93976  25.4722 i
 3.53535 -4.93976  25.0538 i
 3.73737 -4.93976  24.717 i
 3.93939 -4.93976  24.4618 i
 4.14141 -4.93976  24.2883 i
 4.34343 -4.93976  24.1964 i
 4.54545 -4.93976  24.1861 i
 4.74747 -4.93976  24.2575 i
 4.94949 -4.93976  24.4105 i
 5.15152 -4.93976  24.6451 i
 5.35354 -4.93976  24.9613 i
 5.55556 -4.93976  25.3591 i
 5.75758 -4.93976  25.8386 i
 5.9596 -4.93976  26.3997 i
 6.16162 -4.93976  27.0424 i
 6.36364 -4.93976  27.7667 i
 6.56566 -4.93976  28.5727 i
 6.76768 -4.93976  29.4603 i
 6.9697 -4.93976  30.4295 i
 7.17172 -4.93976  31.4804 i
 7.37374 -4.93976  32.6128 i
 7.57576 -4.93976  33.8269 i
 7.77778 -4.93976  35.1226 i
 7.9798 -4.93976  36.5 i
 8.18182 -4.93976  37.9589 i
 8.38384 -4.93976  39.4995 i
 8.58586 -4.93976  41.1217 i
 8.78788 -4.93976  42.8256 i
 8.9899 -4.93976  44.611 i
 9.19192 -4.93976  46.4781 i
 9.39394 -4.93976  48.4268 i
 9.59596 -4.93976  50.4571 i
 9.79798 -4.93976  52.5691 i
 10 -4.93976  54.7627 i

# IsoCurve 64, 100 points
# x y z type
-10 -4.85944  231.646 i
-9.79798 -4.85944  225.857 i
-9.59596 -4.85944  220.149 i
-9.39394 -4.85944  214.523 i
-9.19192 -4.85944  208.979 i
-8.9899 -4.85944  203.516 i
-8.78788 -4.85944  198.134 i
-8.58586 -4.85944  192.835 i
-8.38384 -4.85944  187.617 i
-8.18182 -4.85944  182.48 i
-7.9798 -4.85944  177.426 i
-7.77778 -4.85944  172.452 i
-7.57576 -4.85944  167.561 i
-7.37374 -4.85944  162.751 i
-7.17172 -4.85944  158.023 i
-6.9697 -4.85944  153.376 i
-6.76768 -4.85944  148.811 i
-6.56566 -4.85944  144.328 i
-6.36364 -4.85944  139.926 i
-6.16162 -4.85944  135.606 i
-5.9596 -4.85944  131.367 i
-5.75758 -4.85944  127.21 i
-5.55556 -4.85944  123.135 i
-5.35354 -4.85944  119.142 i
-5.15152 -4.85944  115.23 i
-4.94949 -4.85944  111.399 i
-4.74747 -4.85944  107.65 i
-4.54545 -4.85944  103.983 i
-4.34343 -4.85944  100.398 i
-4.14141 -4.85944  96.8938 i
-3.93939 -4.85944  93.4715 i
-3.73737 -4.85944  90.1309 i
-3.53535 -4.85944  86.8719 i
-3.33333 -4.85944  83.6945 i
-3.13131 -4.85944  80.5987 i
-2.92929 -4.85944  77.5845 i
-2.72727 -4.85944  74.652 i
-2.52525 -4.85944  71.8011 i
-2.32323 -4.85944  69.0318 i
-2.12121 -4.85944  66.3442 i
-1.91919 -4.85944  63.7381 i
-1.71717 -4.85944  61.2137 i
-1.51515 -4.85944  58.771 i
-1.31313 -4.85944  56.4098 i
-1.11111 -4.85944  54.1303 i
-0.909091 -4.85944  51.9324 i
-0.707071 -4.85944  49.8161 i
-0.505051 -4.85944  47.7814 i
-0.30303 -4.85944  45.8284 i
-0.10101 -4.85944  43.957 i
 0.10101 -4.85944  42.1672 i
 0.30303 -4.85944  40.459 i
 0.505051 -4.85944  38.8325 i
 0.707071 -4.85944  37.2876 i
 0.909091 -4.85944  35.8243 i
 1.11111 -4.85944  34.4426 i
 1.31313 -4.85944  33.1426 i
 1.51515 -4.85944  31.9242 i
 1.71717 -4.85944  30.7874 i
 1.91919 -4.85944  29.7322 i
 2.12121 -4.85944  28.7587 i
 2.32323 -4.85944  27.8668 i
 2.52525 -4.85944  27.0565 i
 2.72727 -4.85944  26.3278 i
 2.92929 -4.85944  25.6808 i
 3.13131 -4.85944  25.1153 i
 3.33333 -4.85944  24.6315 i
 3.53535 -4.85944  24.2294 i
 3.73737 -4.85944  23.9088 i
 3.93939 -4.85944  23.6699 i
 4.14141 -4.85944  23.5126 i
 4.34343 -4.85944  23.4369 i
 4.54545 -4.85944  23.4429 i
 4.74747 -4.85944  23.5304 i
 4.94949 -4.85944  23.6996 i
 5.15152 -4.85944  23.9505 i
 5.35354 -4.85944  24.2829 i
 5.55556 -4.85944  24.697 i
 5.75758 -4.85944  25.1927 i
 5.9596 -4.85944  25.77 i
 6.16162 -4.85944  26.4289 i
 6.36364 -4.85944  27.1695 i
 6.56566 -4.85944  27.9917 i
 6.76768 -4.85944  28.8955 i
 6.9697 -4.85944  29.881 i
 7.17172 -4.85944  30.948 i
 7.37374 -4.85944  32.0967 i
 7.57576 -4.85944  33.327 i
 7.77778 -4.85944  34.639 i
 7.9798 -4.85944  36.0325 i
 8.18182 -4.85944  37.5077 i
 8.38384 -4.85944  39.0645 i
 8.58586 -4.85944  40.703 i
 8.78788 -4.85944  42.423 i
 8.9899 -4.85944  44.2247 i
 9.19192 -4.85944  46.108 i
 9.39394 -4.85944  48.073 i
 9.59596 -4.85944  50.1195 i
 9.79798 -4.85944  52.2477 i
 10 -4.85944  54.4575 i

# IsoCurve 65, 100 points
# x y z type
-10 -4.77912  229.748 i
-9.79798 -4.77912  223.974 i
-9.59596 -4.77912  218.283 i
-9.39394 -4.77912  212.673 i
-9.19192 -4.77912  207.145 i
-8.9899 -4.77912  201.698 i
-8.78788 -4.77912  196.333 i
-8.58586 -4.77912  191.05 i
-8.38384 -4.77912  185.848 i
-8.18182 -4.77912  180.728 i
-7.9798 -4.77912  175.689 i
-7.77778 -4.77912  170.732 i
-7.57576 -4.77912  165.857 i
-7.37374 -4.77912  161.063 i
-7.17172 -4.77912  156.351 i
-6.9697 -4.77912  151.721 i
-6.76768 -4.77912  147.172 i
-6.56566 -4.77912  142.705 i
-6.36364 -4.77912  138.319 i
-6.16162 -4.77912  134.015 i
-5.9596 -4.77912  129.793 i
-5.75758 -4.77912  125.653 i
-5.55556 -4.77912  121.593 i
-5.35354 -4.77912  117.616 i
-5.15152 -4.77912  113.72 i
-4.94949 -4.77912  109.906 i
-4.74747 -4.77912  106.174 i
-4.54545 -4.77912  102.523 i
-4.34343 -4.77912  98.9534 i
-4.14141 -4.77912  95.4657 i
-3.93939 -4.77912  92.0596 i
-3.73737 -4.77912  88.7352 i
-3.53535 -4.77912  85.4924 i
-3.33333 -4.77912  82.3313 i
-3.13131 -4.77912  79.2517 i
-2.92929 -4.77912  76.2538 i
-2.72727 -4.77912  73.3375 i
-2.52525 -4.77912  70.5028 i
-2.32323 -4.77912  67.7498 i
-2.12121 -4.77912  65.0783 i
-1.91919 -4.77912  62.4885 i
-1.71717 -4.77912  59.9803 i
-1.51515 -4.77912  57.5538 i
-1.31313 -4.77912  55.2089 i
-1.11111 -4.77912  52.9456 i
-0.909091 -4.77912  50.7639 i
-0.707071 -4.77912  48.6638 i
-0.505051 -4.77912  46.6454 i
-0.30303 -4.77912  44.7086 i
-0.10101 -4.77912  42.8534 i
 0.10101 -4.77912  41.0798 i
 0.30303 -4.77912  39.3879 i
 0.505051 -4.77912  37.7776 i
 0.707071 -4.77912  36.2489 i
 0.909091 -4.77912  34.8019 i
 1.11111 -4.77912  33.4364 i
 1.31313 -4.77912  32.1526 i
 1.51515 -4.77912  30.9504 i
 1.71717 -4.77912  29.8298 i
 1.91919 -4.77912  28.7909 i
 2.12121 -4.77912  27.8336 i
 2.32323 -4.77912  26.9579 i
 2.52525 -4.77912  26.1638 i
 2.72727 -4.77912  25.4514 i
 2.92929 -4.77912  24.8206 i
 3.13131 -4.77912  24.2714 i
 3.33333 -4.77912  23.8038 i
 3.53535 -4.77912  23.4179 i
 3.73737 -4.77912  23.1135 i
 3.93939 -4.77912  22.8908 i
 4.14141 -4.77912  22.7498 i
 4.34343 -4.77912  22.6903 i
 4.54545 -4.77912  22.7125 i
 4.74747 -4.77912  22.8163 i
 4.94949 -4.77912  23.0017 i
 5.15152 -4.77912  23.2688 i
 5.35354 -4.77912  23.6175 i
 5.55556 -4.77912  24.0477 i
 5.75758 -4.77912  24.5597 i
 5.9596 -4.77912  25.1532 i
 6.16162 -4.77912  25.8284 i
 6.36364 -4.77912  26.5852 i
 6.56566 -4.77912  27.4236 i
 6.76768 -4.77912  28.3436 i
 6.9697 -4.77912  29.3453 i
 7.17172 -4.77912  30.4286 i
 7.37374 -4.77912  31.5935 i
 7.57576 -4.77912  32.8401 i
 7.77778 -4.77912  34.1682 i
 7.9798 -4.77912  35.578 i
 8.18182 -4.77912  37.0694 i
 8.38384 -4.77912  38.6425 i
 8.58586 -4.77912  40.2971 i
 8.78788 -4.77912  42.0334 i
 8.9899 -4.77912  43.8513 i
 9.19192 -4.77912  45.7509 i
 9.39394 -4.77912  47.732 i
 9.59596 -4.77912  49.7948 i
 9.79798 -4.77912  51.9392 i
 10 -4.77912  54.1653 i

# IsoCurve 66, 100 points
# x y z type
-10 -4.6988  227.862 i
-9.79798 -4.6988  222.105 i
-9.59596 -4.6988  216.43 i
-9.39394 -4.6988  210.836 i
-9.19192 -4.6988  205.324 i
-8.9899 -4.6988  199.893 i
-8.78788 -4.6988  194.545 i
-8.58586 -4.6988  189.277 i
-8.38384 -4.6988  184.092 i
-8.18182 -4.6988  178.988 i
-7.9798 -4.6988  173.966 i
-7.77778 -4.6988  169.025 i
-7.57576 -4.6988  164.166 i
-7.37374 -4.6988  159.388 i
-7.17172 -4.6988  154.693 i
-6.9697 -4.6988  150.078 i
-6.76768 -4.6988  145.546 i
-6.56566 -4.6988  141.095 i
-6.36364 -4.6988  136.726 i
-6.16162 -4.6988  132.438 i
-5.9596 -4.6988  128.232 i
-5.75758 -4.6988  124.108 i
-5.55556 -4.6988  120.065 i
-5.35354 -4.6988  116.104 i
-5.15152 -4.6988  112.224 i
